# id	left	top	right	bottom	texture_id
[SPRITES]
500001	0	98	263	143	130
500002	172	128	195	155	130
500003	184	159	207	186	130
500004	208	159	231	186	130
500005	232	159	255	186	130
#intro
510000	516	226	771	449	140
#Map
520000	4	40	237	201	150
#NUMBER
530000	77	30	84	37	130
530001	87	30	94	37	130	
530002	87	30	104	37	130	
530003	107	30	114	37	130	
530004	117	30	124	37	130	
530005	127	30	134	37	130	
530006	137	30	144	37	130	
530007	147	30	154	37	130	
530008	157	30	164	37	130	
530009	167	30	174	37	130
#energy
540000	63	251	126	258	130


# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
